dest_iso3,total_refugees,pct_children,pct_elderly,pct_women_adult,pct_men_adult,pct_unknown_age
AUT,89370.0,0.27123195703256125,0.08241020476670023,0.4293758700097357,0.21698196819100274,0.0
BEL,91245.0,0.3068661296509398,0.0481122253274152,0.4105928911333398,0.2344287538883052,0.0
BGR,72810.0,0.23362175525339926,0.0742343084741107,0.39325423487758265,0.2988897013949074,0.0
CHE,69060.0,0.2728062554300608,0.11200405444540978,0.40201661482714063,0.21317307529738871,0.0
CYP,24270.0,0.24206839719818707,0.07663782447466007,0.4898473415256026,0.19144643680155018,0.0
CZE,388515.0,0.23032572744939062,0.04456713383009665,0.41804048749726525,0.3070666512232475,0.0
DEU,1194570.0,0.2714658831211231,0.09149317327573939,0.3936506591531798,0.24339028444995775,0.0
DNK,44180.0,0.26969216840199184,0.07888184698958804,0.3985527179506945,0.2528732666577255,0.0
EST,34870.0,0.2738743905936335,0.06882707198164612,0.41161832913134355,0.2456802082933768,0.0
GRC,37130.0,0.2194990573660113,0.07554538109345543,0.5420145434958255,0.16294101804470779,0.0
ESP,242140.0,0.2973899397043033,0.05866440901957545,0.4040431155529859,0.23990253572313538,0.0
FIN,76505.0,0.24684661133259264,0.05627083197176655,0.4419318998758251,0.2549506568198157,0.0
FRA,52005.0,0.0005768676088837611,0.12431496971445054,0.5952312277665609,0.2798769349101048,0.0
HRV,27645.0,0.29788388497015733,0.047567372038343284,0.4727798878639899,0.18176885512750948,0.0
HUN,41495.0,0.3357030967586456,0.06362212314736715,0.4236655018676949,0.17700927822629234,0.0
IRL,115130.0,0.2985320941544341,0.0684443672370364,0.4074958742291323,0.2255276643793972,0.0
ISL,4055.0,0.17385943279901356,0.059186189889025895,0.43896424167694204,0.3279901356350185,0.0
ITA,56180.0,0.2322000711997152,0.09425062299750801,0.4875002175024325,0.18604908830034428,0.0
LTU,49145.0,0.28548173771492524,0.058398616339403804,0.45691321599348866,0.19920642995218232,0.0
LUX,3730.0,0.23324396782841822,0.12332439678284182,0.425820101081901,0.21761153430683897,0.0
LVA,31015.0,0.22263420925358698,0.0712558439464775,0.3901338062227954,0.3159761405771401,0.0
MLT,2390.0,0.24476987447698745,0.100418410041841,0.47811649066879197,0.17669522481237962,0.0
NLD,129915.0,0.2560905207250895,0.04210445291151907,0.4429292663919002,0.2588757599714912,0.0
NOR,82065.0,0.2767318588923414,0.07402668616340706,0.3708297584916636,0.2784116964525879,0.0
POL,961440.0,0.4653384506573473,0.03464074721251456,0.3475047844899318,0.15251601764020636,0.0
PRT,57370.0,0.23932368833885306,0.070594387310441,0.4605489859225508,0.22953293842815517,0.0
ROU,193060.0,0.2681808764114783,0.04863772920335647,0.3394279930779691,0.34375340130719617,0.0
SWE,47905.0,0.23473541383989144,0.06857321782694917,0.3923390042793028,0.30435236405385657,0.0
SVN,10650.0,0.2708920187793427,0.10938967136150235,0.41517842863387744,0.2045398812252775,0.0
SVK,134980.0,0.2711142391465402,0.049488813157504814,0.46006815824566605,0.21932878945028894,0.0
