dest_iso3,unemployment,year
AUT,0.052000000000000005,2024
BEL,0.057,2024
BGR,0.042,2024
CYP,0.049,2024
CZE,0.026000000000000002,2024
DEU,0.034,2024
DNK,0.062,2024
EST,0.076,2024
GRC,0.10099999999999999,2024
ESP,0.114,2024
FIN,0.084,2024
FRA,0.07400000000000001,2024
HRV,0.05,2024
HUN,0.045,2024
IRL,0.043,2024
ISL,0.036000000000000004,2024
ITA,0.065,2024
LTU,0.071,2024
LUX,0.064,2024
LVA,0.069,2024
MLT,0.031,2024
NLD,0.037000000000000005,2024
NOR,0.04,2024
POL,0.028999999999999998,2024
PRT,0.065,2024
ROU,0.054000000000000006,2024
SWE,0.084,2024
SVN,0.037000000000000005,2024
SVK,0.053,2024
